,date,state,fips,cases,deaths,month
4439,2020-05-22,Mississippi,28,12624,596,5
4440,2020-05-22,Missouri,29,11797,680,5
4441,2020-05-22,Montana,30,479,16,5
4442,2020-05-22,Nebraska,31,11661,149,5
4443,2020-05-22,Nevada,32,7531,387,5
4444,2020-05-22,New Hampshire,33,4014,204,5
4445,2020-05-22,New Jersey,34,152719,10985,5
4446,2020-05-22,New Mexico,35,6625,302,5
4425,2020-05-22,Guam,66,1134,6,5
4424,2020-05-22,Georgia,13,39734,1779,5
4423,2020-05-22,Florida,12,49443,2189,5
4411,2020-05-21,West Virginia,54,1603,71,5
4402,2020-05-21,South Carolina,45,9379,416,5
4403,2020-05-21,South Dakota,46,4177,47,5
4404,2020-05-21,Tennessee,47,18970,313,5
4405,2020-05-21,Texas,48,53441,1480,5
4406,2020-05-21,Utah,49,7876,92,5
4407,2020-05-21,Vermont,50,950,54,5
4408,2020-05-21,Virgin Islands,78,69,6,5
4409,2020-05-21,Virginia,51,34137,1099,5
4410,2020-05-21,Washington,53,20280,1054,5
4412,2020-05-21,Wisconsin,55,13967,487,5
4422,2020-05-22,District of Columbia,11,7893,418,5
4413,2020-05-21,Wyoming,56,801,12,5
4414,2020-05-22,Alabama,1,13670,541,5
4415,2020-05-22,Alaska,2,404,8,5
4416,2020-05-22,Arizona,4,15608,775,5
4417,2020-05-22,Arkansas,5,5612,113,5
4418,2020-05-22,California,6,90801,3690,5
4419,2020-05-22,Colorado,8,23456,1324,5
4420,2020-05-22,Connecticut,9,39640,3637,5
4421,2020-05-22,Delaware,10,8529,322,5
4734,2020-05-27,Tennessee,47,21360,353,5
6855,2020-05-07,Maryland,24,69957,3243,5
4736,2020-05-27,Utah,49,8710,105,5
4905,2020-05-30,Washington,53,22618,1126,5
4913,2020-05-31,California,6,113114,4242,5
4912,2020-05-31,Arkansas,5,7253,133,5
4911,2020-05-31,Arizona,4,19936,906,5
4910,2020-05-31,Alaska,2,469,8,5
4909,2020-05-31,Alabama,1,17952,630,5
4908,2020-05-30,Wyoming,56,898,16,5
4907,2020-05-30,Wisconsin,55,18249,588,5
4906,2020-05-30,West Virginia,54,1989,75,5
4904,2020-05-30,Virginia,51,43611,1370,5
4936,2020-05-31,Montana,30,515,17,5
4903,2020-05-30,Virgin Islands,78,70,6,5
4902,2020-05-30,Vermont,50,977,55,5
4901,2020-05-30,Utah,49,9551,112,5
4900,2020-05-30,Texas,48,63396,1676,5
4899,2020-05-30,Tennessee,47,22676,360,5
4898,2020-05-30,South Dakota,46,4960,62,5
4897,2020-05-30,South Carolina,45,11394,487,5
4896,2020-05-30,Rhode Island,44,14819,711,5
4914,2020-05-31,Colorado,8,26364,1445,5
4915,2020-05-31,Connecticut,9,42201,3944,5
4916,2020-05-31,Delaware,10,9498,366,5
4917,2020-05-31,District of Columbia,11,8801,466,5
4934,2020-05-31,Mississippi,28,15501,734,5
4933,2020-05-31,Minnesota,27,24860,1050,5
4932,2020-05-31,Michigan,26,57355,5491,5
4931,2020-05-31,Massachusetts,25,96965,6846,5
4930,2020-05-31,Maryland,24,53456,2532,5
4929,2020-05-31,Maine,23,2325,89,5
4928,2020-05-31,Louisiana,22,40021,2791,5
4927,2020-05-31,Kentucky,21,9937,441,5
