,date,state,fips,cases,deaths,month
5762,2020-06-15,Nebraska,31,16860,226,6
5761,2020-06-15,Montana,30,609,19,6
5760,2020-06-15,Missouri,29,16712,895,6
5759,2020-06-15,Mississippi,28,19799,895,6
5758,2020-06-15,Minnesota,27,30724,1335,6
5757,2020-06-15,Michigan,26,66302,6025,6
5756,2020-06-15,Massachusetts,25,105690,7646,6
5755,2020-06-15,Maryland,24,62653,2947,6
5754,2020-06-15,Maine,23,2810,101,6
5753,2020-06-15,Louisiana,22,47284,3018,6
5752,2020-06-15,Kentucky,21,12863,524,6
5751,2020-06-15,Kansas,20,11516,246,6
5750,2020-06-15,Iowa,19,24110,661,6
5749,2020-06-15,Indiana,18,41422,2433,6
5649,2020-06-13,Mississippi,28,19348,889,6
5636,2020-06-13,Hawaii,15,711,17,6
5647,2020-06-13,Michigan,26,66024,6017,6
3550,2020-06-05,Iowa,19,10404,219,6
3557,2020-06-05,Michigan,26,45079,4250,6
3556,2020-06-05,Massachusetts,25,72025,4420,6
5816,2020-06-16,Montana,30,614,19,6
3555,2020-06-05,Maryland,24,28263,1443,6
3554,2020-06-05,Maine,23,1254,62,6
3553,2020-06-05,Louisiana,22,30472,2167,6
3552,2020-06-05,Kentucky,21,5946,286,6
3551,2020-06-05,Kansas,20,5893,163,6
3549,2020-06-05,Indiana,18,22286,1377,6
5646,2020-06-13,Massachusetts,25,105395,7576,6
3548,2020-06-05,Illinois,17,68164,2977,6
3547,2020-06-05,Idaho,16,2158,67,6
3546,2020-06-05,Hawaii,15,616,17,6
3545,2020-06-05,Guam,66,1118,6,6
5274,2020-06-06,North Dakota,38,2819,75,6
5273,2020-06-06,North Carolina,37,34809,1020,6
5272,2020-06-06,New York,36,382102,30123,6
5271,2020-06-06,New Mexico,35,8800,392,6
3558,2020-06-05,Minnesota,27,8579,485,6
3559,2020-06-05,Mississippi,28,8424,374,6
3560,2020-06-05,Missouri,29,9164,429,6
3561,2020-06-05,Montana,30,456,16,6
3578,2020-06-05,South Dakota,46,2779,29,6
3577,2020-06-05,South Carolina,45,6936,305,6
3576,2020-06-05,Rhode Island,44,10205,370,6
3575,2020-06-05,Puerto Rico,72,1968,99,6
3574,2020-06-05,Pennsylvania,42,54989,3360,6
3573,2020-06-05,Oregon,41,2916,115,6
3572,2020-06-05,Oklahoma,40,4201,253,6
3571,2020-06-05,Ohio,39,21576,1225,6
3570,2020-06-05,Northern Mariana Islands,69,15,2,6
3569,2020-06-05,North Dakota,38,1323,31,6
3568,2020-06-05,North Carolina,37,12783,497,6
3567,2020-06-05,New York,36,329405,25956,6
3566,2020-06-05,New Mexico,35,4290,169,6
3565,2020-06-05,New Jersey,34,131890,8549,6
3564,2020-06-05,New Hampshire,33,2741,111,6
