,date,state,fips,cases,deaths,month
2313,2020-04-13,South Dakota,46,867,6,4
2314,2020-04-13,Tennessee,47,5483,114,4
2315,2020-04-13,Texas,48,14487,320,4
2316,2020-04-13,Utah,49,2368,18,4
2317,2020-04-13,Vermont,50,748,27,4
2318,2020-04-13,Virgin Islands,78,51,1,4
2299,2020-04-13,New Hampshire,33,1020,23,4
2297,2020-04-13,Nebraska,31,870,19,4
2276,2020-04-13,Delaware,10,1761,41,4
2296,2020-04-13,Montana,30,394,7,4
2277,2020-04-13,District of Columbia,11,1955,52,4
2278,2020-04-13,Florida,12,21011,498,4
2279,2020-04-13,Georgia,13,13125,479,4
2280,2020-04-13,Guam,66,719,6,4
2281,2020-04-13,Hawaii,15,502,9,4
2282,2020-04-13,Idaho,16,1499,33,4
2283,2020-04-13,Illinois,17,22025,800,4
2284,2020-04-13,Indiana,18,8300,414,4
2285,2020-04-13,Iowa,19,1710,44,4
2286,2020-04-13,Kansas,20,1384,63,4
2287,2020-04-13,Kentucky,21,2048,106,4
2288,2020-04-13,Louisiana,22,21016,884,4
2289,2020-04-13,Maine,23,698,19,4
2290,2020-04-13,Maryland,24,8936,262,4
2291,2020-04-13,Massachusetts,25,26867,844,4
2292,2020-04-13,Michigan,26,25490,1603,4
2293,2020-04-13,Minnesota,27,1650,70,4
2294,2020-04-13,Mississippi,28,2942,98,4
2295,2020-04-13,Missouri,29,4388,136,4
1789,2020-04-04,Indiana,18,3975,136,4
1787,2020-04-04,Idaho,16,1076,10,4
2505,2020-04-17,Iowa,19,2332,64,4
6823,2020-04-07,South Dakota,46,7028,97,4
6832,2020-04-07,Wisconsin,55,34243,804,4
6831,2020-04-07,West Virginia,54,3205,94,4
6830,2020-04-07,Washington,53,36799,1355,4
6829,2020-04-07,Virginia,51,65109,1849,4
6828,2020-04-07,Virgin Islands,78,112,6,4
6827,2020-04-07,Vermont,50,1238,56,4
6826,2020-04-07,Utah,49,24717,181,4
6825,2020-04-07,Texas,48,195707,2646,4
6824,2020-04-07,Tennessee,47,49232,630,4
6822,2020-04-07,South Carolina,45,43386,813,4
1786,2020-04-04,Hawaii,15,349,3,4
6821,2020-04-07,Rhode Island,44,16991,960,4
6820,2020-04-07,Puerto Rico,72,7787,155,4
6819,2020-04-07,Pennsylvania,42,93922,6793,4
6818,2020-04-07,Oregon,41,9937,216,4
6817,2020-04-07,Oklahoma,40,15645,398,4
6816,2020-04-07,Ohio,39,56183,2907,4
6815,2020-04-07,Northern Mariana Islands,69,31,2,4
6814,2020-04-07,North Dakota,38,3788,89,4
6813,2020-04-07,North Carolina,37,71734,1414,4
6833,2020-04-07,Wyoming,56,1606,20,4
300,2020-04-03,Wisconsin,55,1,0,4
299,2020-04-03,Washington,53,47,11,4
298,2020-04-03,Utah,49,1,0,4
47,2020-04-02,Arizona,4,1,0,4
48,2020-04-02,California,6,6,0,4
49,2020-04-02,Illinois,17,2,0,4
50,2020-04-02,Massachusetts,25,1,0,4
51,2020-04-02,Washington,53,1,0,4
284,2020-04-03,Arizona,4,2,0,4
285,2020-04-03,California,6,55,1,4
286,2020-04-03,Florida,12,3,0,4
287,2020-04-03,Georgia,13,2,0,4
288,2020-04-03,Illinois,17,4,0,4
289,2020-04-03,Massachusetts,25,2,0,4
290,2020-04-03,Nebraska,31,13,0,4
291,2020-04-03,New Hampshire,33,2,0,4
292,2020-04-03,New Jersey,34,1,0,4
293,2020-04-03,New York,36,11,0,4
294,2020-04-03,North Carolina,37,1,0,4
295,2020-04-03,Oregon,41,2,0,4
296,2020-04-03,Rhode Island,44,2,0,4
297,2020-04-03,Texas,48,12,0,4
6812,2020-04-07,New York,36,401286,31860,4
6811,2020-04-07,New Mexico,35,13063,513,4
6810,2020-04-07,New Jersey,34,174889,15189,4
6787,2020-04-07,District of Columbia,11,10447,557,4
6785,2020-04-07,Connecticut,9,46717,4335,4
6784,2020-04-07,Colorado,8,33900,1703,4
6783,2020-04-07,California,6,265176,6329,4
6782,2020-04-07,Arkansas,5,23209,286,4
6781,2020-04-07,Arizona,4,94616,1821,4
6780,2020-04-07,Alaska,2,1339,14,4
6779,2020-04-07,Alabama,1,42862,1007,4
1774,2020-04-04,Alabama,1,1632,44,4
1775,2020-04-04,Alaska,2,169,3,4
1776,2020-04-04,Arizona,4,2019,53,4
1777,2020-04-04,Arkansas,5,743,14,4
1778,2020-04-04,California,6,13796,323,4
1779,2020-04-04,Colorado,8,4574,126,4
1780,2020-04-04,Connecticut,9,5276,165,4
1781,2020-04-04,Delaware,10,593,14,4
1782,2020-04-04,District of Columbia,11,902,21,4
1783,2020-04-04,Florida,12,11537,194,4
1784,2020-04-04,Georgia,13,6383,208,4
1785,2020-04-04,Guam,66,223,4,4
6786,2020-04-07,Delaware,10,11996,512,4
6788,2020-04-07,Florida,12,190044,3701,4
6809,2020-04-07,New Hampshire,33,5871,380,4
